frame,labelimageId,trackId,lineageId,parentTrackId,mergerLabelId,Convexity_0,Number_of_Defects_0,Mean_Defect_Displacement_0,Mean_Defect_Area_0,Variance_of_Defect_Area_0,Convex_Hull_Center_0,Convex_Hull_Center_1,Object_Center_0,Object_Center_1,Object_Area_0,Kurtosis_of_Intensity_0,Maximum_intensity_0,Mean_Intensity_0,Minimum_intensity_0,Principal_components_of_the_object_0,Principal_components_of_the_object_1,Principal_components_of_the_object_2,Principal_components_of_the_object_3,Radii_of_the_object_0,Radii_of_the_object_1,Skewness_of_Intensity_0,Total_Intensity_0,Variance_of_Intensity_0,Average_Branch_Length_0,Number_of_Branches_0,Diameter_0,Euclidean_Diameter_0,Number_of_Holes_0,Center_of_the_Skeleton_0,Center_of_the_Skeleton_1,Terminal_1_0,Terminal_1_1,Terminal_2_0,Terminal_2_1,Length_of_the_Skeleton_0,Bounding_Box_Maximum_0,Bounding_Box_Maximum_1,Bounding_Box_Minimum_0,Bounding_Box_Minimum_1,Size_in_pixels_0,Center_of_the_object_0,Center_of_the_object_1
0,1,2,2,0,0,0.391667,3,21.284481,632.666687,264672.343750,1184.000000,58.500000,1178.911621,56.962357,1222.000000,-0.552151,61.000000,40.170212,7.000000,0.837472,0.546480,0.546480,-0.837472,17.960978,5.899008,-0.580176,49088.000000,152.957932,9.642214,38,80.154327,71.112587,0,1184,61,1216.000000,82.000000,1152.000000,51.000000,366.404114,1216,82,1152,35,1222.000000,1178,56
0,2,3,3,0,0,0.508549,5,18.004129,178.199997,64640.199219,416.000000,237.000000,415.596527,240.682205,922.000000,-0.854593,51.000000,27.714750,9.000000,0.631076,-0.775721,0.775721,0.631076,13.614313,5.578423,0.350973,25553.000000,90.466354,9.606347,28,60.840622,56.222771,0,413,238,434.000000,257.000000,399.000000,213.000000,268.977692,434,261,398,213,922.000000,415,240
0,3,4,4,0,0,0.535736,5,16.686089,154.600006,41813.300781,281.000000,416.000000,280.558289,417.561646,892.000000,-0.806887,51.000000,32.410313,12.000000,0.746701,-0.665159,-0.665159,-0.746701,13.061172,5.788067,-0.203552,28910.000000,65.679176,8.714540,28,57.012192,53.254108,0,281,417,259.000000,430.000000,303.000000,400.000000,244.007141,303,434,259,398,892.000000,280,417
0,4,5,5,0,0,0.588594,4,18.005535,185.750000,34374.917969,714.500000,509.000000,713.929443,507.378174,1063.000000,-0.680396,55.000000,36.969898,20.000000,-0.594838,-0.803846,0.803846,-0.594838,12.992493,7.168848,0.135033,39299.000000,47.624683,8.979500,36,61.183765,46.529560,0,714,508,694.000000,528.000000,735.000000,506.000000,323.261963,735,530,694,488,1063.000000,713,507
0,5,6,6,0,0,0.445753,4,13.770494,164.750000,26982.250000,1961.000000,742.000000,1962.466064,742.875488,530.000000,0.270769,18.000000,11.326415,5.000000,0.841668,0.539995,0.539995,-0.841668,11.003352,4.680869,-0.400430,6003.000000,5.008547,6.727841,26,48.284271,43.908997,0,1961,740,1981.000000,750.000000,1943.000000,728.000000,174.923889,1981,756,1941,728,530.000000,1962,742
0,6,7,7,0,0,0.521528,4,18.942286,172.250000,34881.582031,1995.500000,851.500000,2001.456665,853.102539,751.000000,-0.100700,30.000000,15.764315,4.000000,0.973043,-0.230622,-0.230622,-0.973043,11.590222,6.418927,0.019877,11839.000000,24.433134,8.448260,28,54.384777,40.224369,0,1997,854,2005.000000,837.000000,1972.000000,860.000000,236.551300,2019,866,1972,837,751.000000,2001,853
0,7,8,8,0,0,0.723655,5,24.551477,75.000000,8086.000000,345.000000,970.000000,339.927704,970.376770,982.000000,-0.711841,53.000000,33.155804,8.000000,0.998355,0.057333,0.057333,-0.998355,14.153654,5.849470,-0.225977,32559.000000,91.836212,8.595500,30,63.384777,58.249462,0,344,971,374.000000,972.000000,317.000000,960.000000,257.865021,374,981,316,959,982.000000,339,970
0,8,9,9,0,0,0.637059,4,24.947260,154.250000,23312.916016,748.500000,1150.000000,755.243774,1149.301025,1083.000000,-0.791139,59.000000,37.674053,5.000000,0.999269,0.038216,0.038216,-0.999269,16.731676,5.603450,-0.471453,40801.000000,173.977783,9.661408,35,69.727921,63.505905,0,749,1149,778.000000,1140.000000,715.000000,1148.000000,338.149292,782,1162,715,1138,1083.000000,755,1149
1,1,2,2,0,0,0.392005,3,21.416023,628.666687,263916.343750,1183.500000,58.000000,1178.208862,56.904606,1216.000000,-0.539962,63.000000,40.032074,6.000000,0.843002,0.537910,0.537910,-0.843002,17.932291,5.880691,-0.593910,48679.000000,152.290909,9.452481,39,79.568542,71.840103,0,1185,61,1216.000000,81.000000,1160.000000,36.000000,368.646759,1216,81,1151,35,1216.000000,1178,56
1,2,3,3,0,0,0.486133,3,17.566465,327.333344,84304.335938,416.000000,237.000000,415.601715,240.393967,929.000000,-0.860603,49.000000,27.674919,9.000000,0.628866,-0.777513,0.777513,0.628866,13.926281,5.566796,0.310613,25710.000000,85.965370,9.458324,29,61.254833,55.443665,0,412,237,434.000000,256.000000,399.000000,213.000000,274.291412,435,261,397,213,929.000000,415,240
1,3,4,4,0,0,0.543660,5,16.644423,152.600006,39745.300781,278.500000,415.500000,278.794281,416.760162,909.000000,-0.729495,51.000000,32.634762,12.000000,0.743078,-0.669205,-0.669205,-0.743078,13.098025,5.820735,-0.235942,29665.000000,66.341850,9.215433,30,56.012192,52.009613,0,280,416,257.000000,429.000000,298.000000,397.000000,276.462982,300,434,257,397,909.000000,278,416
1,4,5,5,0,0,0.472650,4,18.947430,308.500000,103835.000000,731.500000,502.000000,732.022583,500.505432,1106.000000,-0.800286,58.000000,33.608498,8.000000,0.750317,-0.661078,-0.661078,-0.750317,15.244296,6.190552,0.045306,37171.000000,105.182167,9.143643,41,67.426407,60.207973,0,731,502,706.000000,522.000000,757.000000,490.000000,374.889404,757,524,706,480,1106.000000,732,500
1,5,6,6,0,0,0.449573,4,13.761321,161.000000,24878.000000,1973.000000,741.500000,1973.650146,743.144470,526.000000,0.012088,17.000000,11.439163,6.000000,0.804336,0.594175,0.594175,-0.804336,10.215965,5.020143,-0.422879,6017.000000,4.360367,7.119798,25,48.455845,43.046486,0,1972,741,1992.000000,749.000000,1955.000000,727.000000,177.994949,1992,756,1954,727,526.000000,1973,743
