FRAME,TRACKID,COORD_X,COORD_Y
0,-1,699.344849,2.783251
0,2,2387.926025,92.466515
0,3,1405.902466,230.830139
0,-1,2230.714844,375.108826
0,4,561.012695,655.976868
0,-1,564.130066,748.178772
0,5,1971.520386,960.176086
1,-1,698.286377,2.4
1,2,2382.844971,91.873344
1,3,1404.690063,228.322052
1,-1,2231.32251,375.694183
1,4,563.365967,655.752441
1,-1,578.23669400000006,740.579712
1,5,1971.780273,959.746155
2,-1,1121.793091,2.665025
2,2,2378.297119,91.940186
2,3,1406.022339,231.31369
2,-1,2232.250977,376.547974
2,4,570.732849,659.134705
2,-1,584.99762,740.465088
2,5,1970.995483,959.752258
3,-1,503.635468,3.413793
3,-1,701.351501,2.747525
3,-1,1123.023682,2.909953
3,-1,1346.264893,2.913242
3,2,2376.547607,92.694794
3,3,1404.832031,228.606537
3,-1,2230.537598,374.5
3,4,578.095703,661.663879
3,-1,589.504822,740.291565
3,5,1971.018188,960.278381
4,-1,506.440765,3.151659
4,2,2375.213135,88.707718
4,3,1406.579468,229.252991
4,-1,2230.393066,374.559906
4,4,589.664734,661.59613
4,-1,597.820435,740.71698
4,5,1972.05835,959.973206
5,-1,737.649292,2.49763
5,-1,1160.444458,2.988095
5,2,2356.432129,73.086441
5,3,1399.608032,224.566284
5,-1,2237.113281,384.313934
5,-1,125.828026,589.48407
5,4,603.628479,659.08136
5,-1,119.727943,717.327209
5,-1,599.89679,747.143127
5,-1,124.193398,962.68396
5,5,1973.505371,960.742676
6,-1,571.577271,3.340909
6,-1,1192.551514,3.049327
6,-1,1416.681641,3.376682
6,-1,1615.267944,4.368421
6,2,2339.885742,71.596687
6,3,1399.775879,229.463364
6,-1,2273.802246,389.248535
6,4,607.117859,649.272522
6,-1,608.686157,744.096985
6,5,1975.712891,960.586853
7,-1,1024.178711,2.642512
7,-1,1442.96582,3.512195
7,2,2335.448975,73.033333
7,-1,2289.554443,390.641907
7,6,2493.688232,455.922058
7,4,618.894836,638.995789
7,-1,618.107666,738.519836
7,5,1976.355469,961.084106
8,-1,402.071747,3.811659
8,-1,1046.640137,2.308411
8,-1,1244.123779,3.222772
8,2,2336.295654,74.187286
8,-1,2297.446777,390.648407
8,6,2504.562256,453.679718
8,4,623.401306,633.83252
8,-1,627.266968,736.639343
8,5,1975.334717,960.831909
9,2,2336.69873,74.67202
9,-1,2304.842041,390.548248
9,6,2505.980713,453.287445
9,4,633.569702,631.330078
9,-1,633.535034,736.829102
9,5,1971.290894,960.904663
10,-1,1092.069824,2.967442
10,-1,1512.1073,4.560976
10,2,2343.977539,75.550896
10,6,2506.506836,453.071106
10,4,668.034729,628.255554
10,-1,635.039001,736.224365
10,-1,3188.51123,799.457764
10,5,1985.115112,961.063965
10,-1,1953.785156,959.6875
11,-1,511.019989,2.895
11,-1,1352.26001,3.44
11,6,2506.420654,453.131042
11,4,741.673706,620.522034
11,5,1988.080811,960.203613
12,-1,779.645325,2.901478
12,-1,1397.916626,3.166667
12,-1,1392.841064,226.953888
12,6,2507.17334,452.850342
12,4,792.413574,617.572021
13,-1,385.540009,3.57
13,-1,800.626099,3.04054
13,-1,1219.613525,2.84058
13,-1,2285.671143,95.698303
13,-1,1391.827637,226.660339
13,-1,3272.029053,340.786407
13,6,2506.722412,455.5177
13,4,813.957764,617.805664
14,-1,821.415894,2.565421
14,-1,1245.361328,2.722772
14,-1,2285.678223,95.695335
14,-1,1391.234131,228.829178
14,6,2532.644531,456.624237
14,4,832.935913,617.027832
15,-1,431.515839,3.484163
15,-1,627.112122,2.574766
15,-1,1271.781006,2.885714
15,-1,1468.325806,4.253394
15,-1,2288.797852,93.409836
15,-1,1391.348633,229.547806
15,6,2549.799561,463.242249
15,4,858.556213,617.975708
15,-1,636.371033,761.837708
16,-1,660.719055,2.661905
16,-1,1304.968628,2.9147980000000002
16,-1,3273.379883,34.58654
16,-1,249.384949,47.924778
16,-1,2281.158691,93.819962
16,-1,1399.840332,221.497894
16,-1,246.137772,336.5289
16,6,2370.117676,386.535553
16,-1,2567.849854,470.224243
16,4,893.070679,615.893982
16,-1,665.049072,742.950928
16,-1,250.167938,781.297729
17,-1,512.559265,2.985782
17,-1,708.320007,2.64
17,-1,2278.937012,94.014816
17,-1,1396.172729,215.160553
17,6,2392.581543,389.12854
17,-1,2600.375488,480.764984
17,4,951.066589,613.142395
17,-1,678.480164,738.686462
17,7,1974.271729,959.84375
18,-1,555.12439,2.970149
18,-1,1396.363647,3.181818
18,-1,2249.35083,96.384903
18,-1,1408.1521,221.641327
18,6,2420.693359,390.551605
18,4,998.460449,614.413818
18,-1,688.535522,739.258423
18,7,1975.776489,960.70459
19,-1,358.578186,3.341232
19,-1,774.59613,2.293269
19,-1,1199.654541,2.931818
19,-1,1420.888306,3.635922
19,-1,1619.071411,3.878151
19,-1,2250.972168,93.481804
19,-1,106.30043,228.124466
19,-1,1413.965698,224.351181
19,-1,146.066345,374.824646
19,6,2433.886719,390.976715
19,4,1018.010376,614.859497
19,-1,693.329468,739.064514
19,7,1975.671509,960.420471
20,-1,605.242981,2.275701
20,-1,799.869019,2.737991
20,-1,1216.204224,2.975
20,-1,1420.807617,225.347076
20,6,2446.941162,390.960205
20,4,1023.904602,607.8927
20,-1,697.775574,739.287231
20,7,1976.124512,959.991394
20,-1,10.064357,999.420776
21,-1,1246.62439,3.375587
21,-1,1466.084106,3.747525
21,-1,1422.219482,222.687805
21,6,2458.904297,390.760284
21,4,1039.693481,606.843384
21,-1,701.359558,741.038269
21,7,1976.398682,960.599976
22,-1,848.465027,2.75
22,6,2474.736084,391.228516
22,4,1066.824951,596.978394
22,-1,704.930237,744.291138
22,-1,3188.110107,799.92511
22,7,1971.011353,959.840454
23,-1,885.800903,2.708333
23,-1,2184.348145,95.790176
23,-1,82.358849,250.282303
23,6,2484.109863,391.139679
23,4,1113.552979,588.138794
23,-1,722.923401,740.581421
23,7,1980.453979,960.092041
23,-1,90.267944,990.129211
24,-1,1333.940308,2.949541
24,-1,3268.980713,79.932693
24,-1,2184.43042,96.887878
24,6,2491.797607,391.079773
24,4,1132.348511,589.101013
24,-1,736.330017,738.668579
24,7,1987.365967,959.132874
25,-1,742.612122,2.556075
25,-1,936.856506,2.550926
25,-1,1363.015015,2.885
25,-1,2185.293457,97.805389
25,-1,3271.650146,339.886688
25,6,2496.025146,389.92868
25,4,1143.153076,590.661255
25,-1,744.609009,739.528198
25,7,1991.106567,959.705872
26,-1,573.163452,2.865385
26,-1,1412.12561,3.618605
26,-1,2190.699951,97.513954
26,-1,1437.64624,217.769089
26,-1,3272.022949,341.105988
26,-1,2499.467041,386.115387
26,6,2532.138184,394.441498
26,-1,2679.158936,500.683502
26,4,1212.813965,607.297119
26,-1,3267.123779,647.582581
27,-1,395.940094,3.981567
27,-1,590.367981,2.69697
27,-1,814.761292,2.914414
27,-1,1432.649292,3.445498
27,-1,2190.789307,97.61702
27,-1,1450.439209,218.244934
27,-1,2512.167969,387.820618
27,6,2539.195801,394.701019
27,-1,2683.729736,516.495117
27,4,1242.494507,614.2995
28,-1,1255.684937,3.369863
28,-1,1453.352173,3.943662
28,-1,2139.146973,26.096153
28,-1,1469.192871,220.140518
28,6,2548.513184,394.957458
28,-1,2686.760498,521.539612
28,4,1276.155518,621.87915
29,-1,633.014648,2.380488
29,-1,1471.92041,3.955752
29,-1,2139.113281,30.84157
29,-1,1489.676514,225.470291
29,6,2553.743896,394.618652
29,-1,2687.948242,522.464355
29,4,1301.845459,625.727783
30,-1,462.195343,3.488372
30,-1,1078.139648,2.684685
30,-1,1300.965576,2.955665
30,-1,1499.129883,3.862205
30,-1,2136.86499,29.530333
30,-1,249.503967,41.345238
30,-1,3272.98999,34.845772
30,-1,1513.00708,230.507095
30,-1,246.963333,338.126678
30,6,2560.656982,394.694763
30,-1,2687.30249,522.055054
30,4,1326.905396,628.34729
31,-1,481.280945,3.485714
31,-1,1098.42981,2.944681
31,-1,1542.019897,232.995575
31,6,2566.810303,394.116394
31,-1,2688.106934,528.78595
31,4,1345.160522,631.109375
31,-1,64.376869,995.582092
32,-1,517.995483,3.163636
32,-1,710.675903,3.171296
32,-1,1133.261719,2.827103
32,-1,1357,3.12381
32,-1,2195.716553,26.793419
32,6,2688.854736,522.164185
32,4,1376.952148,631.097168
32,8,1980.438232,955.063721
33,-1,1147.162231,2.631579
33,-1,2204.241943,18.384792
33,6,2688.953125,521.396484
33,4,1400.019043,628.640442
33,8,1981.056885,956.372131
33,-1,121.991867,973.268311
34,-1,556.22937,2.912844
34,-1,746.151367,2.412844
34,-1,975.497559,2.448276
34,-1,1169.275513,3.013333
34,-1,2208.660156,16.970444
34,-1,110.05761,222.814819
34,6,2689.137939,518.517456
34,4,1428.79248,627.681396
34,8,1982.915283,955.922302
35,-1,361.396484,3.38326
35,-1,779,2.415525
35,-1,1425.270996,3.758621
35,-1,1624.459717,3.952607
35,6,2691.584717,527.408264
35,4,1469.570557,626.715393
