FRAME,TRACKID,COORD_X,COORD_Y
0,2,790.687317,85.755165
0,-1,744.016724,85.908081
0,-1,1338.473145,295.135986
0,3,1977.789795,384.080872
0,-1,288.022308,496.252777
0,-1,356.317749,717.401855
0,4,1796.813232,793.731934
0,5,1069.832397,991.615173
1,2,782.115356,86.314384
1,-1,117.447876,112.972977
1,-1,119.594696,272.431824
1,-1,1336.55481,294.08905
1,-1,119.457916,399.121216
1,3,1978.020142,384.623016
1,-1,283.535431,496.106293
1,-1,117.893082,628.17926
1,-1,121.751381,760.270691
1,4,1783.415161,793.504456
1,-1,124.099998,1008.896545
1,5,1036.647949,989.370667
1,-1,1067.555542,991.131958
2,2,788.914124,86.487373
2,-1,759.29303,86.395348
2,-1,96.348839,121.410851
2,-1,93.996613,304.301697
2,3,2001.350708,385.611603
2,-1,1953.945679,383.86142
2,-1,94.122452,428.45578
2,-1,93.099266,621.334534
2,-1,306.813568,714.156799
2,4,1786.789551,801.319031
2,-1,95.569855,804.154419
2,5,1017.571411,988.624329
2,-1,1051.026001,991.791504
2,-1,98.954735,1052.761353
3,2,779.137634,87.177162
3,-1,74.150627,121.765694
3,-1,1335.018066,292.4729
3,-1,71.496666,306.609985
3,3,1995.451416,384.640076
3,-1,71.14286,432.96344
3,-1,284.693695,495.689178
3,-1,72.370232,621.248108
3,-1,300.399994,713.565857
3,4,1776.233765,799.63446
3,-1,74.34256,807.702393
3,5,1000.067566,989.021606
3,-1,1025,988.84729
3,-1,77.24176,1056.699585
4,2,780.751221,87.097916
4,-1,54.035572,122.090912
4,-1,1335.392334,291.711548
4,-1,52.594593,308.158295
4,3,2034.414185,377.078369
4,-1,52.256504,434.60968
4,-1,282.430664,496.594879
4,-1,52.612545,621.273071
4,-1,295.039215,713.366028
4,4,1766.977173,800.056152
4,-1,55.28125,808.553589
4,5,984.897644,989.748047
4,-1,1018.808594,989.582886
4,-1,57.708862,1057.139282
5,2,789.333313,88.083916
5,-1,20.655737,122.098358
5,-1,1432.849121,286.099548
5,-1,20.101818,308.607269
5,3,2115.919922,364.695007
5,-1,20.516529,434.078522
5,-1,278.894562,496.775513
5,-1,19.4,621.475464
5,-1,290.922272,712.395752
5,4,1754.440796,799.412781
5,-1,22.90411,807.657532
5,5,982.994995,991.39624
5,-1,25.341463,1057.508179
6,2,777.775696,87.510277
6,-1,1472.036255,295.323273
6,3,2130.304932,364.450348
6,-1,278.901642,496.635254
6,-1,290.429108,710.440613
6,-1,2.693023,803.953491
6,4,1745.737427,799.450684
6,5,951.18158,992.647339
6,-1,990.593079,992.034546
6,-1,4.230769,1051.772705
7,2,791.034851,81.507462
7,-1,1484.317139,292.385101
7,3,2149.431885,364.654755
7,-1,279.853882,497.219177
7,-1,288.777344,710.15625
7,4,1730.459351,800.485962
7,5,932.073853,992.536926
8,2,801.93103,80.341827
8,-1,1488.684082,290.983704
8,3,2155.710938,364.981293
8,-1,280.348206,498.348206
8,-1,287.730896,709.47998
8,4,1723.100952,801.21643099999994
8,5,913.420654,993.686279
9,2,817.209778,77.497902
9,-1,99.986298,121.406395
9,-1,1490.574463,290.423248
9,-1,102.004257,302.570221
9,3,2158.426758,366.391907
9,-1,101.809715,427.716614
9,-1,279.715149,497.648499
9,-1,106.736488,621.239868
9,-1,285.118225,711.29071
9,4,1706.149536,801.493958
9,-1,104.167381,802.549377
9,5,882.660461,993.720947
9,-1,105.371681,1051.172607
10,2,822.937561,76.929611
10,-1,73.238297,121.531914
10,-1,74.560814,305.682434
10,-1,1503.976074,293.513428
10,-1,75.057877,431.562714
10,-1,75.115242,621.249084
10,-1,301.640839,694.707764
10,-1,76.448845,806.580872
10,4,1690.75769,805.595581
10,5,854.296448,993.446533
10,-1,76.168777,1058.413452
11,2,824.32373,76.973938
11,-1,50.658825,122.149017
11,-1,53.524715,307.608368
11,-1,2172.343506,360.357544
11,-1,53.996597,434.414978
11,-1,56.847057,621.498047
11,-1,294.345032,687.033142
11,4,1678.994629,808.388062
11,-1,55.175213,808.730774
11,5,837.222656,991.125244
11,-1,57.344444,1057.940796
12,2,823.975525,77.059631
12,-1,32.619434,122.275307
12,6,1522.386719,294.326935
12,-1,33.513832,308.403168
12,-1,34.369232,434.889221
12,-1,35.925312,621.203308
12,-1,287.866211,677.892578
12,-1,35.491291,808.198608
12,4,1656.900757,814.257385
12,5,813.983521,987.934082
12,-1,37.137459,1057.182129
13,-1,853.424988,73.979164
13,2,803.639709,78.397057
13,-1,12.468469,122.319817
13,6,1517.476807,288.108002
13,-1,12.680609,307.646393
13,7,2261.575684,369.166046
13,-1,13.692041,433.301025
13,-1,280.415833,499.326721
13,-1,14.525598,621.713318
13,-1,283.23288,671.348328
13,-1,13.924528,808.286804
13,4,1638.630493,819.504089
13,5,790.11499,988.383362
13,-1,16.823755,1058.019165
14,2,846.845947,76.49633
14,6,1534.604736,288.544128
14,7,2294.970459,375.486847
14,-1,280.887634,497.295868
14,-1,267.021515,649.197144
14,-1,284.249115,673.921692
14,-1,1622.570923,825.43634
14,4,1595.37561,842.170715
14,5,755.667908,985.208252
15,2,851.389038,77.14286
15,6,1539.284302,288.604279
15,7,2300.935303,375.959991
15,-1,280.577209,497.165436
15,-1,275.461823,660.960938
15,4,1591.918335,843.386841
15,5,736.655884,983.401428
16,2,853.012329,77.938271
16,6,1542.750732,288.629486
16,7,2308.452393,376.929199
16,-1,280.930756,497.642303
16,-1,272.107697,656.246155
16,4,1567.773804,857.820068
16,5,709.170471,982.363647
17,2,852.938721,77.561287
17,-1,120.919998,110.275558
17,6,1546.636108,287.413849
17,7,2314.339355,378.226868
17,-1,121.885712,394.848969
17,-1,280.951965,498.475983
17,-1,274.300537,660.37207
17,-1,123.438271,760.104919
17,4,1559.876587,861.853882
17,-1,125.73114,1009.294006
17,5,690.909363,983.208008
18,2,853.928345,78.177567
18,-1,111.657143,120.565079
18,6,1551.412354,286.584503
18,-1,103.43396,296.81131
18,7,2317.210938,378.428833
18,-1,104.683098,420.665497
18,-1,110.158417,621.007446
18,-1,263.216461,646.246765
18,-1,106.895241,796.174622
18,4,1548.369995,868.770935
18,5,675.884644,984.024719
18,-1,111.04834,1042.921509
19,2,854.297424,78.677055
19,-1,83.621948,121.699188
19,-1,1520.946655,267.223297
19,6,1566.231567,294.633698
19,-1,81.563179,307.895294
19,7,2319.8125,379.137146
19,-1,80.248505,431.658691
19,-1,80.308823,621.261047
19,-1,262.957153,643.81427
19,-1,82.840424,807.372314
19,4,1545.557495,876.838318
19,5,662.074463,984.517822
19,-1,86.452209,1056.378662
20,2,845.639343,78.093674
20,-1,61.242424,121.844696
20,6,1563.678345,293.249481
20,-1,59.574299,307.397583
20,7,2321.840088,380.067261
20,-1,59.9011,434.263733
20,-1,59.516247,621.620911
20,-1,267.004822,644.02887
20,-1,62.241879,808.270752
20,4,1541.684692,877.323425
20,5,649.539673,983.226196
20,-1,65.180077,1056.693481
21,-1,43.26923,122.042732
21,6,1563.768066,292.229736
21,-1,42.548275,307.013794
21,7,2321.421143,380.103302
21,-1,41.47522,432.583099
21,-1,42.974728,621.58844
21,-1,266.908386,645.893127
21,-1,45.919029,808.068848
21,4,1535.468994,876.773804
21,5,635.339478,982.669739
21,-1,47.226482,1056.212524
22,-1,882.535645,56.368549
22,-1,23.402214,122.376381
22,6,1562.247559,292.12381
22,-1,19.976654,307.910492
22,-1,2306.965088,376.656708
22,7,2336.936768,380.940704
22,-1,19.965279,432.715271
22,-1,249.193283,544.247925
22,-1,19.714802,621.725647
22,-1,263.505981,648.733093
22,-1,22.712063,807.533081
22,4,1531.126587,874.979309
22,-1,25.425171,1056.200684
23,-1,872.306641,64.241554
23,6,1563.261353,292.841553
23,-1,2.918455,304.927032
23,7,2337.555664,382.111115
23,-1,255.506897,564.56897
23,-1,259.134033,652.058411
23,-1,4.519298,804.859619
23,4,1524.379272,874.117981
23,-1,5.924699,1054.960815
24,-1,869.933655,66.193581
24,6,1586.342285,296.110748
24,7,2337.72583,382.747925
24,-1,260.94577,568.689758
24,-1,257.447845,660.748108
24,4,1529.40686,867.868835
25,-1,870.888611,66.838982
25,6,1626.301392,294.738831
25,7,2412.453857,364.067383
25,-1,285.08075,570.122131
25,-1,256.59259,664.733337
25,-1,1540.279297,856.400879
25,4,1515.182739,869.516113
26,-1,875.400269,64.598541
26,-1,119.039406,287.384247
26,6,1628.9646,291.604187
26,-1,117.372093,413.939545
26,-1,296.965179,575.532349
26,-1,247.713837,671.880493
26,-1,118.966019,789.558228
26,4,1510.928345,866.831787
26,-1,120.938965,1039.544556
27,-1,868.871887,68.134331
27,-1,91.796463,121.469025
27,6,1638.267456,291.455658
27,-1,94.113556,306.479858
27,-1,2440.394287,366.117645
27,-1,94.152611,431.570282
27,-1,312.723969,574.230774
27,-1,96.680611,621.273743
27,-1,248.222946,676.960632
27,-1,93.709679,806.036316
27,-1,1571.098389,836.528687
27,4,1507.843994,866.49884
27,-1,95.449997,1055.345825
28,-1,893.896667,54.295204
28,-1,851.12677,78.112679
28,-1,65.535156,121.882812
28,6,1645.104248,291.794128
28,-1,66.679688,308.226562
28,-1,2444.977051,366.527832
28,-1,65.578949,434.013153
28,-1,315.93576,559.223938
28,-1,68.41304,621.369568
28,-1,251.943787,679.218933
28,-1,67.370735,807.853638
28,4,1548.813721,844.225464
28,-1,71.257523,1057.531738
29,-1,39.342464,121.981735
29,6,1647.140015,290.615173
29,-1,39.613384,308.115234
29,-1,2448.081787,366.719299
29,-1,39.644829,432.837921
29,-1,321.647064,556.303894
29,-1,41.867424,621.299255
29,-1,284.922791,676.501953
29,-1,42.231998,807.736023
29,4,1529.908569,850.191101
29,8,480.967468,984.504089
29,-1,44.091911,1057.551514
30,-1,15.469388,122.14286
30,6,1646.471069,288.860748
30,-1,16.03252,309.373993
30,-1,2449.435303,366.690186
30,-1,17.845638,435.083893
30,-1,333.280792,566.453552
30,-1,18.725191,621.404602
30,-1,280.115143,677.605286
30,-1,18.80916,808.019104
30,4,1521.450195,851.351685
30,8,467.156769,984.406189
30,-1,20.960432,1058.273438
31,9,950.159363,66.414345
31,6,1633.08252,281.779816
31,-1,1671.49585,298.195831
31,-1,2449.545898,366.739929
31,-1,343.457184,568.098572
31,-1,273.350891,677.982483
31,-1,242.577866,688.58606
31,4,1520.514282,849.444214
31,8,457.603271,982.467163
32,9,956.542664,66.515358
32,6,1669.630127,297.148407
32,-1,2450.242432,367.297485
32,-1,337.836609,561.523926
32,-1,242.478073,693.662292
32,4,1516.54895,849
32,8,453.284424,982.036133
33,9,962.326782,69.346405
33,6,1679.819824,297.618378
33,-1,2461.566895,364.283478
33,-1,372.755432,579.417969
33,-1,266.647339,683.318848
33,-1,242.488892,696.119995
33,-1,1539.932251,839.170227
33,4,1492.588867,852.39032
33,8,448.764282,981.982605
34,9,964.41687,71.536781
34,-1,112.6875,120.590622
34,-1,99.18,264.309998
34,-1,105.794022,295.202667
34,6,1725.169556,298.198822
34,-1,2460.82666,365.986664
34,-1,107.199997,417.71936
34,-1,391.924438,576.551086
34,-1,110.517059,621.314941
34,-1,108.763702,793.972595
34,4,1511.337891,844.692749
34,8,447.11441,980.819214
34,-1,115.590912,1036.901855
