FRAME,TRACKID,COORD_X,COORD_Y
0,-1,2638.532227,52.621552
0,2,809.61908,245.308395
0,3,598.878235,373.990875
0,-1,230.0522,485.269226
0,4,876.401917,678.487183
0,5,303.622925,829.807739
0,-1,59.529182,896.093384
0,6,2781.900146,960.002563
0,-1,72.491913,970.682861
1,-1,2661.246582,41.599316
1,-1,2622.875,60.01907
1,2,810.289124,245.571426
1,3,597.843872,374.438934
1,-1,228.605011,484.943573
1,4,869.042419,675.179993
1,5,300.641144,825.783386
1,-1,359.138763,834.665283
1,-1,59.99231,896.165405
1,6,2781.274902,960.632629
1,-1,73.565788,970.621704
2,-1,2659.161865,43.607426
2,-1,2621.922363,60.477032
2,2,810.734558,245.2612
2,3,595.678955,375.247528
2,-1,228.848831,484.854645
2,4,860.405701,671.376221
2,5,301.217896,823.483948
2,-1,349.975555,832.358704
2,-1,58.931915,896.055298
2,6,2780.379395,960.319824
2,-1,73.12458,970.845093
3,2,809.239807,245.429871
3,3,593.987915,376.087494
3,-1,228.835449,485.77533
3,4,853.483643,668.305176
3,5,299.965393,821.505188
3,-1,347.099792,830.201721
3,-1,63.968338,901.551453
3,6,2785.382568,960.317566
3,-1,74.435432,969.441467
4,-1,2691,42.737038
4,2,811.795837,245.387558
4,3,596.573975,375.36834700000003
4,-1,229.124176,484.316986
4,4,845.184631,665.042847
4,5,331.160217,825.540894
4,-1,59.730469,896.210938
4,-1,77.556488,965.654785
4,6,2778.89502,959.995117
5,-1,2699.653809,42.217899
5,2,807.264832,245.355408
5,3,597.197571,374.639832
5,-1,229.526642,485.448273
5,4,827.173523,659.609802
5,5,332.373535,824.041382
5,-1,62.644859,896.638611
5,-1,88.452377,913.479187
5,-1,80.106888,964.539856
5,6,2776.690918,959.725952
6,-1,2706.344238,41.148552
6,2,808.990967,245.582581
6,3,595.627747,375.381866
6,-1,229.127777,487.372223
6,4,800.963013,654.347412
6,5,331.606476,822.072449
6,-1,68.714577,898.17041
6,6,2773.049805,959.946045
6,-1,75.573334,971.007996
7,-1,2711.411865,41.112358
7,2,812.175659,245.259872
7,3,596.062073,375.32016
7,-1,228.525742,485.441742
7,-1,70.220444,554.146973
