FRAME,TRACKID,COORD_X,COORD_Y
0,2,2399.551025,117.541405
0,3,2647.471924,250.708801
0,4,1573.580322,414.370544
0,5,1646.230225,534.016785
0,6,2176.265137,696.219421
0,7,2554.253174,813.708618
0,8,749.989502,991.94104
1,2,2399.280518,117.266563
1,3,2647.984375,250.745346
1,4,1583.984009,414.90097
1,5,1646.437866,534.048096
1,6,2176.491699,696.271423
1,7,2562.759521,814.66571
1,8,750.637085,991.298218
2,2,2400.658203,117.731956
2,3,2652.367676,250.484222
2,4,1582.132324,414.195068
2,5,1646.160278,533.741211
2,6,2177.519043,696.420044
2,7,2570.574463,815.578674
2,8,751.117188,991.068665
3,2,2399.53833,117.471672
3,3,2654.409912,250.463028
3,4,1585.044312,414.042206
3,5,1645.322998,533.365601
3,6,2176.972412,696.127747
3,7,2574.838623,815.921326
3,8,750.993896,991.180725
4,2,2400.368652,117.443466
4,3,2659.133545,250.271027
4,4,1594.156494,414.408478
4,5,1645.028564,533.247986
4,6,2177.818604,696.098328
4,7,2583.350098,816.552673
4,8,753.293335,989.896973
5,2,2400.410645,117.332848
5,3,2667.276611,250.502075
5,4,1601.317871,414.421967
5,5,1642.490967,532.41864
5,6,2178.445557,696.27002
5,7,2594.228271,817.672913
5,8,748.551941,992.863403
6,2,2399.689941,117.612518
6,3,2670.900635,250.853897
6,-1,222.911194,384.447876
6,4,1604.37915,414.406586
6,5,1641.637573,532.077881
6,-1,224.30397,666.418518
6,6,2178.199951,696.342224
6,-1,225.779739,813.127747
6,7,2598.98291,817.798157
6,-1,227.968643,960.306641
6,8,747.464417,993.471436
7,2,2401.394775,117.815666
7,3,2674.512451,250.622253
7,-1,223.849686,377.975464
7,4,1603.685425,413.881256
7,-1,173.804764,482.809509
7,-1,224.288132,526.145752
7,5,1642.923218,532.298401
7,-1,225.378189,670.443665
7,6,2178.902344,696.531738
7,-1,226.898361,814.02948
7,7,2606.541504,818.358826
7,-1,229.185532,965.02832
7,8,749.716797,992.476501
8,2,2410.655518,118.539368
8,-1,224.17366,229.083832
8,3,2676.349121,250.438339
8,-1,225.648422,376.15274
8,4,1611.377686,414.42392
8,-1,173.567047,484.226044
8,-1,226.876511,518.825317
8,5,1643.856323,532.170288
8,6,2178.381104,696.407349
8,7,2612.791748,818.505981
8,-1,201.594482,969.688965
8,8,750.875183,991.644409
9,2,2418.809082,119.051178
9,-1,223.059708,219.55722
9,3,2677.085449,250.149353
9,4,1614.126099,414.322144
9,-1,173.698929,483.516144
9,-1,224.777008,523.895447
9,5,1639.02832,530.832031
9,6,2177.655762,696.06366
9,-1,227.279694,810.708801
9,-1,199.587555,824.743164
9,7,2614.58374,818.403992
9,8,750.682495,991.512512
10,2,2426.230957,119.49511
10,3,2682.042725,249.87175
10,-1,223.521423,373.596436
10,4,1611.085083,413.762085
10,-1,173.661072,484.248322
10,5,1604.7229,517.046509
10,-1,1637.112061,532.453308
10,-1,223.942032,672.705322
10,6,2176.70874,695.441406
10,7,2619.432373,818.711365
10,-1,226.764709,963.79187
10,8,750.810059,991.233826
11,2,2433.186768,118.985352
11,3,2686.911377,250.270233
11,4,1622.081421,414.354645
11,-1,173.289566,483.333344
11,5,1599.990356,515.220825
11,6,2171.74585,693.033875
11,7,2631.831787,819.039368
11,8,753.185425,989.738037
12,-1,154.653839,103.552887
12,2,2435.049072,119.135849
12,3,2688.248779,250.607193
12,4,1620.019775,413.776245
12,-1,173.344711,483.843018
12,5,1592.569946,510.962708
12,6,2176.696289,695.265991
12,7,2639.035645,819.399109
12,8,750.625,991.659424
13,2,2436.058594,119.203522
13,-1,159.524506,180.872543
13,3,2688.531982,251.366272
13,4,1628.849121,414.634064
13,-1,173.501617,483.802582
13,5,1590.659912,509.265137
13,6,2179.12915,696.271423
13,7,2643.359619,819.597839
13,-1,767.138916,981.569458
13,8,741.590088,996.987549
14,-1,157.301529,101.519081
14,2,2435.932129,119.120155
14,-1,158.742859,180.780945
14,3,2692.374268,252.896454
14,4,1624.695312,413.664886
14,-1,173.420059,483.611298
14,5,1585.350952,506.067657
14,-1,164.413788,591.238708
14,6,2181.777588,697.023071
14,7,2670.32959,819.876953
14,-1,2624.677734,819.60498
14,8,750.484924,991.204468
15,-1,154.081345,104.626793
15,2,2436.617676,119.080582
15,3,2694.294189,252.901474
15,-1,177.301804,429.752258
15,4,1628.736694,413.714844
15,-1,173.557007,483.706848
15,5,1582.578735,503.967834
15,-1,164.261902,591.775146
15,6,2182.471191,696.825134
15,7,2652.056152,819.963196
15,8,753.039307,990.035767
16,-1,156.526718,101.946564
16,2,2437.547852,118.856247
16,3,2696.003174,252.525269
16,-1,175.554001,412.393738
16,4,1638.550415,414.433228
16,-1,173.369568,484.282623
16,5,1582.674438,504.033447
16,-1,164.453522,592.518311
